	0	1	2	3	4	5	6	7
0	Q9Y696	Q9Y605	0.6521464013014739	1016858.5158580323	0.2167679964054985	5.6113055283135036e-18	0.14947876429126433	0.8505212357087355
1	Q9Y696	Q9Y5N5	0.6317512501750479	964735.0458799556	0.08456753829397845	5.7967086639825975e-33	0.14947876429126433	0.8505212357087355
2	Q9Y696	Q9Y5B8	0.28147818929493174	956056.0155414535	0.049248291914420705	6.103053708251671e-42	0.13706904206904208	0.8629309579309578
3	Q9Y696	Q9Y4U1	0.21023886741080386	1031474.5524868754	0.01686279764781551	4.657010046712459e-60	0.13556904206904208	0.8644309579309578
4	Q9Y696	Q9Y3D6	0.3639275812357114	969547.3993792156	0.6296779658248965	0.0006666608405292595	0.14947876429126433	0.8505212357087355
5	Q9Y696	Q9Y3C4	0.5913772149429364	1040985.6077991665	0.6198654954417023	0.00046453569596444745	0.14797876429126433	0.8520212357087356
6	Q9Y618	Q9Y3U8	0.3238963989428265	941871.1861252578	0.33309221467049455	1.0666730913061129e-11	0.13706904206904208	0.8629309579309578
7	Q9Y617	Q9Y605	0.7880145872540683	2990913.569747043	0.43390504992975854	3.6353460003211746e-08	0.14904424048174053	0.8509557595182593
8	Q9Y617	Q9Y5R8	0.4898873369402549	2960756.9588024276	0.18115252050794006	9.787199232740451e-21	0.14904424048174053	0.8509557595182593
9	Q9Y617	Q9Y5P6	0.7008208565058224	2885391.8518348597	0.5420138075112713	1.7150018659889575e-05	0.14904424048174053	0.8509557595182593
10	Q9Y617	Q9Y5J9	0.7363198362762998	2730387.2268874245	0.15966766518447018	1.0365013993081681e-22	0.14904424048174053	0.8509557595182593
11	Q9Y617	Q9Y5J7	0.7892106115983963	2821670.439163121	0.2703493579160292	1.1077801910321917e-14	0.14904424048174053	0.8509557595182593
12	Q9Y617	Q9Y4Z0	0.4769267985656587	2867506.5276647583	0.04551638750136433	2.916450209835768e-43	0.14904424048174053	0.8509557595182593
13	Q9Y617	Q9Y4P8	0.6027431573612742	3005927.730042258	0.1928648699252331	9.132938317930067e-20	0.14904424048174053	0.8509557595182593
14	Q9Y617	Q9Y4P1	0.5704884426760378	2919615.9345533787	0.042355527195723996	1.8050907834812134e-44	0.14904424048174053	0.8509557595182593
15	Q9Y617	Q9Y448	0.22588398673818927	3010188.2713378575	0.6796126747381054	0.003546062721519666	0.1366345182595183	0.8633654817404817
16	Q9Y617	Q9Y3F4	0.2663315912275248	2620101.686875912	0.4383362681300409	4.891216872796993e-08	0.1366345182595183	0.8633654817404817
17	Q9Y613	Q9Y490	0.4689580086035181	1050372.6962907023	0.5528749111213541	2.855858087590726e-05	0.14797876429126433	0.8520212357087356
