1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	Uniprot ID
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472010	1087900	1897900	1766300	3463700	8496300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1842000	A0A075B746;P82921
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42746	0	654790	4632000	17799000	5379100	479990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	V9HW75;A0A087WSV8;P80303;Q2L696;E9PKG6;E9PLR0;E9PLE9
0	0	0	0	0	0	0	13272000	0	11116000	9725800	6131500	0	8455600	11391000	7426900	8244500	11758000	27070000	7614700	106080000	20947000	136660000	100980000	133130000	18990000	66590000	16524000	9555700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3427500	3207800	0	0	A0A087WU07;Q5TGZ0
0	0	0	0	0	0	0	0	0	0	0	89680	0	0	0	0	0	0	0	0	0	0	279840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344390	0	0	734420	1496600	1915600	0	5504600	6708300	4835100	2661100	5323300	5824200	9889300	7320700	14724000	11263000	4367800	14085000	49651000	A0A087WUM0;A0A087X1F5;A0A087WYV9;P57105
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320310	0	A0A087WUQ6;P07203
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6740200	0	7721800	11383000	12552000	0	28854000	0	0	0	0	0	0	0	0	4459500	0	0	0	0	0	0	0	0	0	0	0	0	Q5TI65;A0A087WVZ0;Q9Y5U8
0	0	0	0	0	0	0	516520	50897	1807700	3533700	3222700	0	6243100	5303000	6806200	22143000	32207000	1127300	0	0	0	1100000	387500	760480	0	385230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1844800	2239700	8971800	15349000	1943100	0	0	0	0	A0A087WXC5;E7ESZ7;O95299
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132340	151590	0	643020	1091300	1148100	562260	3058100	2937900	2476400	3168900	596110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A0A087WXU0;Q9NWS8;Q5SZ82
0	0	0	0	0	0	0	0	0	0	0	0	0	661720	0	0	0	0	0	0	742410	1647400	3731100	2927100	3020100	862430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469040	0	0	0	0	0	0	0	A0A087WYF7;Q6UXV4;A0A087WUX8
0	0	0	0	0	0	0	51472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20248	0	84483	5125400	55466000	44219000	29729000	367580	0	0	0	0	0	0	203010	0	153350	0	0	74097	0	0	0	0	0	0	0	0	0	0	0	0	756660	0	0	1249900	1021300	6678500	13589000	21099000	12518000	214980	0	0	0	0	A0A087WZN1;O43837;A0A087X2E5
